"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"267","MG",2045,"at or below zero",0.174963113956255,0.174963113956255
"268","MG",2045,"above zero",7.36855320141049,7.54351631536674
"269","MG",2050,"at or below zero",0.180402260091457,0.180402260091457
"270","MG",2050,"above zero",7.60557270224798,7.78597496233943
"271","MG",2055,"at or below zero",0.180402268888041,0.180402268888041
"272","MG",2055,"above zero",7.61313385480128,7.79353612368932
"273","MG",2060,"at or below zero",0.18040226009146,0.18040226009146
"274","MG",2060,"above zero",7.62032371139186,7.80072597148332
"275","MG",2065,"at or below zero",0.180402260091457,0.180402260091457
"276","MG",2065,"above zero",7.62716154649942,7.80756380659088
"277","MG",2070,"at or below zero",0.180402260091457,0.180402260091457
"278","MG",2070,"above zero",7.63366425964967,7.81406651974112
"279","MG",2075,"at or below zero",0.180402260091457,0.180402260091457
"280","MG",2075,"above zero",7.63984827515291,7.82025053524437
"281","MG",2080,"at or below zero",0.180402260091457,0.180402260091457
"282","MG",2080,"above zero",7.64572921236492,7.82613147245637
"283","NAA",2020,"above zero",140.823664877242,140.823664877242
"284","NAA",2025,"above zero",163.181801017408,163.181801017408
"285","NAA",2030,"above zero",186.560835455825,186.560835455825
"286","NAA",2035,"above zero",216.122339281436,216.122339281436
"287","NAA",2040,"above zero",247.124881934199,247.124881934199
"288","NAA",2045,"above zero",288.153442165835,288.153442165835
"289","NAA",2050,"above zero",331.202575451805,331.202575451805
"290","NAA",2055,"above zero",332.629459434118,332.629459434118
"291","NAA",2060,"above zero",334.004779735019,334.004779735019
"292","NAA",2065,"above zero",335.330651201063,335.330651201063
"293","NAA",2070,"above zero",336.609039134603,336.609039134603
"294","NAA",2075,"above zero",337.841837619674,337.841837619674
"295","NAA",2080,"above zero",339.03085863065,339.03085863065
"296","PV",2020,"above zero",3.86650603196509,3.86650603196509
"297","PV",2025,"above zero",15.3189639748317,15.3189639748317
"298","PV",2030,"above zero",18.8988862836144,18.8988862836144
"299","PV",2035,"above zero",20.4525864263923,20.4525864263923
"300","PV",2040,"above zero",22.8026473535972,22.8026473535972
"301","PV",2045,"above zero",23.816760232395,23.816760232395
"302","PV",2050,"above zero",26.0544050750487,26.0544050750487
"303","PV",2055,"above zero",26.1009571399823,26.1009571399823
"304","PV",2060,"above zero",26.1452232072294,26.1452232072294
"305","PV",2065,"above zero",26.1873219820705,26.1873219820705
"306","PV",2070,"above zero",26.2273574980581,26.2273574980581
"307","PV",2075,"above zero",26.2654308754048,26.2654308754048
"308","PV",2080,"above zero",26.3016382784277,26.3016382784277
"309","RAC",2020,"at or below zero",0.0514603313960192,0.0514603313960192
